Scircuit	Syear	prob_x0x_dem	prob_x1x_dem	prob_x2x_dem	prob_3x_dem	prob_1x_dem	prob_2x_dem	prob_x0x_female	prob_x1x_female	prob_x2x_female	prob_3x_female	prob_1x_female	prob_2x_female	prob_x0x_nonwhite	prob_x1x_nonwhite	prob_x2x_nonwhite	prob_3x_nonwhite	prob_1x_nonwhite	prob_2x_nonwhite	prob_x0x_black	prob_x1x_black	prob_x2x_black	prob_3x_black	prob_1x_black	prob_2x_black	prob_x0x_jewish	prob_x1x_jewish	prob_x2x_jewish	prob_3x_jewish	prob_1x_jewish	prob_2x_jewish	prob_x0x_catholic	prob_x1x_catholic	prob_x2x_catholic	prob_3x_catholic	prob_1x_catholic	prob_2x_catholic	prob_x0x_instate_ba	prob_x1x_instate_ba	prob_x2x_instate_ba	prob_3x_instate_ba	prob_1x_instate_ba	prob_2x_instate_ba	prob_x0x_ba_public	prob_x1x_ba_public	prob_x2x_ba_public	prob_3x_ba_public	prob_1x_ba_public	prob_2x_ba_public	prob_x0x_jd_public	prob_x1x_jd_public	prob_x2x_jd_public	prob_3x_jd_public	prob_1x_jd_public	prob_2x_jd_public	prob_x0x_llm_sjd	prob_x1x_llm_sjd	prob_x2x_llm_sjd	prob_3x_llm_sjd	prob_1x_llm_sjd	prob_2x_llm_sjd	prob_x0x_elev	prob_x1x_elev	prob_x2x_elev	prob_3x_elev	prob_1x_elev	prob_2x_elev	prob_x0x_noreligion	prob_x1x_noreligion	prob_x2x_noreligion	prob_3x_noreligion	prob_1x_noreligion	prob_2x_noreligion	prob_x0x_mainline	prob_x1x_mainline	prob_x2x_mainline	prob_3x_mainline	prob_1x_mainline	prob_2x_mainline	prob_x0x_evangelical	prob_x1x_evangelical	prob_x2x_evangelical	prob_3x_evangelical	prob_1x_evangelical	prob_2x_evangelical	prob_x0x_protestant	prob_x1x_protestant	prob_x2x_protestant	prob_3x_protestant	prob_1x_protestant	prob_2x_protestant	prob_x0x_republican	prob_x1x_republican	prob_x2x_republican	prob_3x_republican	prob_1x_republican	prob_2x_republican	prob_x0x_male_jd_public	prob_x1x_male_jd_public	prob_x2x_male_jd_public	prob_3x_male_jd_public	prob_1x_male_jd_public	prob_2x_male_jd_public	prob_x0x_male	prob_x1x_male	prob_x2x_male	prob_3x_male	prob_1x_male	prob_2x_male	prob_x0x_female_black	prob_x1x_female_black	prob_x2x_female_black	prob_3x_female_black	prob_1x_female_black	prob_2x_female_black	prob_x0x_black_noreligion	prob_x1x_black_noreligion	prob_x2x_black_noreligion	prob_3x_black_noreligion	prob_1x_black_noreligion	prob_2x_black_noreligion	prob_x0x_female_noreligion	prob_x1x_female_noreligion	prob_x2x_female_noreligion	prob_3x_female_noreligion	prob_1x_female_noreligion	prob_2x_female_noreligion	prob_x0x_female_jd_public	prob_x1x_female_jd_public	prob_x2x_female_jd_public	prob_3x_female_jd_public	prob_1x_female_jd_public	prob_2x_female_jd_public	prob_x0x_black_jd_public	prob_x1x_black_jd_public	prob_x2x_black_jd_public	prob_3x_black_jd_public	prob_1x_black_jd_public	prob_2x_black_jd_public	prob_x0x_noreligion_jd_public	prob_x1x_noreligion_jd_public	prob_x2x_noreligion_jd_public	prob_3x_noreligion_jd_public	prob_1x_noreligion_jd_public	prob_2x_noreligion_jd_public
1	1945	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1946	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1947	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1948	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1949	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	.25	.75	0	0	.75	0	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	0	0	.75	.25	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1950	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1951	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	.5	.5	0	1	.5	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1952	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	.5	.5	0	1	.5	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	0	.5	.5	0	1	.5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1953	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1	1954	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
